?   	github.com/georgechieng-sc/interns-2022	[no test files]
goos: linux
goarch: amd64
pkg: github.com/georgechieng-sc/interns-2022/folder
cpu: 11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  173713	      6783 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  178069	      6767 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  180986	      6859 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  176571	      6832 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  180492	      6762 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  172573	      6713 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  176882	      6749 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  177265	      6738 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  170091	      6835 ns/op	    9959 B/op	      67 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_deep-12       	  176758	      6779 ns/op	    9959 B/op	      67 allocs/op
PASS
ok  	github.com/georgechieng-sc/interns-2022/folder	126.388s
